Hemisphere,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
Global,1880,-0.17,-0.23,-0.08,-0.15,-0.08,-0.2,-0.17,-0.09,-0.13,-0.22,-0.2,-0.16,-0.16,,,-0.1,-0.15,-0.18
Global,1881,-0.18,-0.13,0.04,0.06,0.08,-0.17,0.02,-0.02,-0.14,-0.2,-0.17,-0.05,-0.07,-0.08,-0.16,0.06,-0.06,-0.17
Global,1882,0.18,0.15,0.06,-0.15,-0.13,-0.21,-0.15,-0.06,-0.13,-0.23,-0.15,-0.34,-0.1,-0.07,0.09,-0.08,-0.14,-0.17
Global,1883,-0.28,-0.36,-0.11,-0.17,-0.16,-0.07,-0.05,-0.12,-0.2,-0.1,-0.22,-0.1,-0.16,-0.18,-0.33,-0.15,-0.08,-0.17
Global,1884,-0.12,-0.07,-0.36,-0.39,-0.33,-0.34,-0.32,-0.27,-0.26,-0.24,-0.32,-0.3,-0.28,-0.26,-0.1,-0.36,-0.31,-0.27
Global,1885,-0.58,-0.33,-0.25,-0.41,-0.44,-0.43,-0.33,-0.3,-0.28,-0.23,-0.23,-0.09,-0.32,-0.34,-0.4,-0.37,-0.35,-0.24
Global,1886,-0.43,-0.5,-0.42,-0.27,-0.23,-0.34,-0.17,-0.3,-0.23,-0.27,-0.26,-0.24,-0.31,-0.29,-0.34,-0.31,-0.27,-0.25
Global,1887,-0.71,-0.56,-0.35,-0.34,-0.29,-0.24,-0.25,-0.34,-0.25,-0.35,-0.25,-0.32,-0.35,-0.35,-0.5,-0.33,-0.28,-0.28
Global,1888,-0.33,-0.35,-0.41,-0.2,-0.21,-0.17,-0.1,-0.15,-0.11,0.02,0.03,-0.03,-0.17,-0.19,-0.34,-0.27,-0.14,-0.02
Global,1889,-0.08,0.17,0.06,0.1,0,-0.1,-0.07,-0.2,-0.24,-0.25,-0.33,-0.28,-0.1,-0.08,0.02,0.05,-0.12,-0.27
