song_name,artist,album,number_song,song_uri,danceability,energy,loudness,duration_ms,speechiness,acousticness,instrumentalness,valence,tempo
SAOKO,ROSALÍA,MOTOMAMI,1,spotify:track:2FYGZDfsAnNsrm1gVbyKnG,0.827,0.768,-5.702,137533,0.265,0.79,2.45e-05,0.734,99.988
CANDY,ROSALÍA,MOTOMAMI,2,spotify:track:70AYiGbc4mWZGEqiipBBDb,0.638,0.49,-5.726,193480,0.226,0.885,0.0116,0.403,179.905
LA FAMA (with The Weeknd),ROSALÍA,MOTOMAMI,3,spotify:track:6Y46tOTRhkBamosyuWa6YX,0.766,0.295,-7.893,188107,0.0464,0.947,4.44e-05,0.805,136.016
BULERÍAS,ROSALÍA,MOTOMAMI,4,spotify:track:5tmrMIajDQRBcJQPaoAGdk,0.774,0.458,-6.301,155880,0.303,0.932,0.000122,0.757,127.33
CHICKEN TERIYAKI,ROSALÍA,MOTOMAMI,5,spotify:track:6hH6QJ9ZAO0Z6m7PfvLoXW,0.788,0.4,-6.454,122227,0.115,0.454,0.000141,0.558,97.936
HENTAI,ROSALÍA,MOTOMAMI,6,spotify:track:4kroNlz8BTfswE4M0i3YCh,0.583,0.297,-11.273,162907,0.406,0.879,0.0,0.291,124.279
BIZCOCHITO,ROSALÍA,MOTOMAMI,7,spotify:track:4kXxEhuatrvwrTQycA7s9B,0.93,0.774,-4.203,109120,0.0744,0.605,0.0238,0.781,116.972
G3 N15,ROSALÍA,MOTOMAMI,8,spotify:track:2MismgPSA3HxJUEV2pEl25,0.499,0.0688,-16.364,252120,0.0524,0.965,0.000164,0.0998,64.987
MOTOMAMI,ROSALÍA,MOTOMAMI,9,spotify:track:6ygEPi8EtVkUO0Xarcgs63,0.887,0.331,-7.669,61347,0.465,0.637,0.00532,0.686,120.022
DIABLO,ROSALÍA,MOTOMAMI,10,spotify:track:4QlMiL1BPCBzLfn1XbSkpg,0.753,0.277,-8.823,165520,0.351,0.819,0.000165,0.328,88.019
DELIRIO DE GRANDEZA,ROSALÍA,MOTOMAMI,11,spotify:track:6lKZ5I0yW3IpUFHEKJCWlx,0.647,0.239,-10.51,155480,0.0331,0.874,4.96e-05,0.298,101.609
CUUUUuuuuuute,ROSALÍA,MOTOMAMI,12,spotify:track:3BQPPsoxlhuSIEPlNRHHZt,0.558,0.487,-9.01,150600,0.353,0.113,0.00058,0.161,138.818
COMO UN G,ROSALÍA,MOTOMAMI,13,spotify:track:7MDfNYdpdohHjmFsYK44KU,0.496,0.13,-14.396,262200,0.0415,0.962,8.15e-06,0.22,133.07
Abcdefg,ROSALÍA,MOTOMAMI,14,spotify:track:1V32pCGXZMgcmXd5MUMDL1,0.717,0.164,-17.948,65960,0.944,0.95,0.0,0.352,91.577
LA COMBI VERSACE (feat. Tokischa),ROSALÍA,MOTOMAMI,15,spotify:track:5gCNf9wMVrYuM2fvfgLTlF,0.835,0.495,-5.791,161267,0.522,0.561,0.000206,0.426,90.97
SAKURA,ROSALÍA,MOTOMAMI,16,spotify:track:15pRGUlhmCxtewBs42ui1N,0.317,0.305,-10.215,201613,0.0644,0.936,0.00289,0.137,86.91
