"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"12.04.2022","19.8048","19.9447","19.9471","19.7750","-0.62%"
"11.04.2022","19.9290","20.0575","20.1257","19.8937","-0.45%"
"08.04.2022","20.0200","20.1385","20.1905","20.0180","-0.50%"
"07.04.2022","20.1210","20.1725","20.1945","20.0710","-0.19%"
"06.04.2022","20.1600","20.0015","20.1971","19.9715","0.84%"
"05.04.2022","19.9930","19.8055","20.0155","19.7620","1.04%"
"04.04.2022","19.7880","19.8815","19.8875","19.7255","-0.24%"
"01.04.2022","19.8350","19.8695","19.9350","19.7470","-0.05%"
"31.03.2022","19.8450","19.8745","19.9725","19.8186","-0.06%"
"30.03.2022","19.8560","19.9790","19.9915","19.8140","-0.54%"
"29.03.2022","19.9640","20.1205","20.1430","19.9121","-0.73%"
"28.03.2022","20.1100","20.0350","20.1905","20.0129","0.45%"
"25.03.2022","20.0200","20.0915","20.1008","19.9085","-0.27%"
"24.03.2022","20.0750","20.2199","20.2451","20.0705","-0.72%"
"23.03.2022","20.2208","20.2845","20.2987","20.1550","-0.24%"
"22.03.2022","20.2700","20.3735","20.4223","20.2495","-0.48%"
"21.03.2022","20.3682","20.3860","20.4156","20.2672","0.14%"
"18.03.2022","20.3400","20.5215","20.5555","20.3520","-0.85%"
"17.03.2022","20.5150","20.6390","20.6741","20.4984","-0.57%"
"16.03.2022","20.6320","20.8345","20.8530","20.5968","-0.90%"
"15.03.2022","20.8200","20.9200","20.9394","20.8186","-0.38%"
"14.03.2022","20.9000","20.9325","20.9823","20.8310","0.01%"
"11.03.2022","20.8970","20.9390","21.0541","20.8440","-0.13%"
"10.03.2022","20.9250","20.9110","21.0686","20.8832","0.16%"
"09.03.2022","20.8920","21.3765","21.3850","20.8560","-2.23%"
"08.03.2022","21.3690","21.3150","21.4687","21.2045","0.32%"
"07.03.2022","21.3000","20.9450","21.3725","20.9263","1.74%"
"04.03.2022","20.9350","20.6374","20.9750","20.6357","1.46%"
"03.03.2022","20.6336","20.6175","20.7570","20.6077","0.20%"
"02.03.2022","20.5930","20.6570","20.8005","20.5777","-0.20%"
"01.03.2022","20.6350","20.4700","20.6810","20.3909","0.85%"
"28.02.2022","20.4610","20.3550","20.6254","20.3171","0.62%"
"25.02.2022","20.3350","20.5545","20.5842","20.3215","-1.00%"
"24.02.2022","20.5410","20.2390","20.7900","20.2344","1.56%"
"23.02.2022","20.2260","20.3050","20.3111","20.1565","-0.31%"
"22.02.2022","20.2890","20.3095","20.3772","20.2682","-0.03%"
"21.02.2022","20.2950","20.3100","20.3325","20.2489","0.07%"
"18.02.2022","20.2800","20.3000","20.3381","20.2576","-0.02%"
"17.02.2022","20.2840","20.2781","20.3555","20.2318","0.07%"
"16.02.2022","20.2703","20.4000","20.4144","20.2495","-0.58%"
"15.02.2022","20.3894","20.4210","20.4555","20.3508","-0.08%"
"14.02.2022","20.4050","20.5350","20.5776","20.3865","-0.59%"
"11.02.2022","20.5260","20.5600","20.6405","20.3618","-0.08%"
"10.02.2022","20.5430","20.4775","20.5925","20.3490","0.40%"
"09.02.2022","20.4620","20.6140","20.6269","20.4415","-0.66%"
"08.02.2022","20.5980","20.5945","20.6882","20.5842","0.10%"
"07.02.2022","20.5780","20.6785","20.6989","20.5790","-0.49%"
"04.02.2022","20.6785","20.5500","20.7910","20.5405","0.72%"
"03.02.2022","20.5310","20.5740","20.6600","20.5123","-0.16%"
"02.02.2022","20.5630","20.5450","20.6485","20.4751","0.16%"
"01.02.2022","20.5300","20.6340","20.6575","20.5000","-0.46%"
"31.01.2022","20.6250","20.8195","20.8470","20.5895","-0.79%"
"28.01.2022","20.7890","20.7655","20.9134","20.7157","0.19%"
"27.01.2022","20.7490","20.7475","20.8114","20.6520","0.09%"
"26.01.2022","20.7310","20.6175","20.7796","20.5488","0.64%"
"25.01.2022","20.6000","20.5770","20.6971","20.5685","0.19%"
"24.01.2022","20.5610","20.4880","20.6921","20.4370","0.54%"
"21.01.2022","20.4510","20.5430","20.5578","20.4290","-0.38%"
"20.01.2022","20.5290","20.5155","20.5725","20.3829","0.13%"
"19.01.2022","20.5020","20.4055","20.5335","20.3216","0.52%"
"18.01.2022","20.3960","20.2955","20.4557","20.2764","0.57%"
"17.01.2022","20.2810","20.3025","20.3625","20.2753","-0.04%"
"14.01.2022","20.2900","20.3460","20.3713","20.2773","-0.21%"
"13.01.2022","20.3330","20.3500","20.4245","20.2983","-0.00%"
"12.01.2022","20.3340","20.3815","20.4492","20.3118","-0.20%"
"11.01.2022","20.3750","20.3760","20.4604","20.3363","0.07%"
"10.01.2022","20.3600","20.3710","20.5294","20.3515","0.00%"
"07.01.2022","20.3600","20.5040","20.5223","20.3525","-0.62%"
"06.01.2022","20.4860","20.5820","20.7612","20.4039","-0.38%"
"05.01.2022","20.5650","20.5150","20.6120","20.3424","0.31%"
"04.01.2022","20.5010","20.5115","20.6423","20.4149","0.03%"
"03.01.2022","20.4940","20.4944","20.6605","20.4104","0.03%"
"31.12.2021","20.4870","20.4636","20.5265","20.3269","0.14%"
"30.12.2021","20.4586","20.5745","20.6122","20.4542","-0.49%"
"29.12.2021","20.5590","20.6580","20.6828","20.5480","-0.40%"
"28.12.2021","20.6420","20.6885","20.7220","20.5605","-0.15%"
"27.12.2021","20.6720","20.6175","20.7454","20.5812","0.35%"
"24.12.2021","20.6000","20.6470","20.6682","20.5725","-0.12%"
"23.12.2021","20.6250","20.7115","20.7455","20.6138","-0.34%"
"22.12.2021","20.6950","20.8176","20.8649","20.6975","-0.51%"
"21.12.2021","20.8010","20.7865","20.8762","20.7022","0.13%"
"20.12.2021","20.7740","20.8205","20.9555","20.6922","-0.28%"
"17.12.2021","20.8330","20.8220","20.8690","20.6945","0.13%"
"16.12.2021","20.8050","21.0135","21.0882","20.7588","-0.96%"
"15.12.2021","21.0071","21.2375","21.3668","21.0051","-1.00%"
"14.12.2021","21.2200","21.0200","21.2835","20.9641","1.00%"
"13.12.2021","21.0100","20.8820","21.0322","20.8378","0.69%"
