Estado,Tipo Vegetación,Causa
Campeche,Selva baja subcaducifolia - SBS,Otras causas
Campeche,Selva baja subperennifolia - SBQ,Otras causas
Campeche,Selva baja subperennifolia - SBQ,Otras causas
Campeche,Selva baja subcaducifolia - SBS,Actividades Agropecuarias
Campeche,Selva mediana subperennifolia - SMQ,Otras causas
Campeche,Selva baja subperennifolia - SBQ,Otras causas
Campeche,Selva mediana subperennifolia - SMQ,Otras causas
Campeche,Selva baja subperennifolia - SBQ,Actividades Agropecuarias
Campeche,Selva mediana subperennifolia - SMQ,Actividades Agropecuarias
Campeche,Selva mediana subperennifolia - SMQ,Otras causas
Campeche,Selva mediana subperennifolia - SMQ,Otras causas
Campeche,Selva baja subperennifolia - SBQ,Otras causas
Campeche,Selva mediana subperennifolia - SMQ,Otras causas
Campeche,Selva baja subperennifolia - SBQ,Otras causas
Campeche,Selva mediana subperennifolia - SMQ,Otras causas
Campeche,Selva mediana subperennifolia - SMQ,Otras causas
Campeche,Selva mediana subcaducifolia - SMS,Actividades Agropecuarias
Campeche,Manglar - VM,Otras causas
Campeche,Selva mediana subcaducifolia - SMS,Otras causas
Campeche,Selva baja subperennifolia - SBQ,Otras causas
Campeche,Selva mediana subperennifolia - SMQ,Actividades Agropecuarias
Campeche,Selva mediana subcaducifolia - SMS,Otras causas
Campeche,Selva mediana subperennifolia - SMQ,Otras causas
Campeche,Selva mediana subperennifolia - SMQ,Actividades Agropecuarias
Campeche,Petén - PT,Otras causas
Campeche,Selva mediana subcaducifolia - SMS,Otras causas
Campeche,Selva baja perennifolia - SBP,Otras causas
Campeche,Manglar - VM,Otras causas
Campeche,Selva baja subperennifolia - SBQ,Otras causas
Quintana Roo,Selva baja subperennifolia - SBQ,Actividades Agropecuarias
Quintana Roo,Sabana - VS,Actividades Agropecuarias
Quintana Roo,Selva mediana subperennifolia - SMQ,Actividades Agropecuarias
Quintana Roo,Selva baja subperennifolia - SBQ,Cazadores
Quintana Roo,Selva mediana subperennifolia - SMQ,Cazadores
Quintana Roo,Selva baja espinosa - SBK,Cazadores
Quintana Roo,Selva mediana subperennifolia - SMQ,Intencional
Quintana Roo,Selva mediana subperennifolia - SMQ,Cazadores
Quintana Roo,Selva baja espinosa - SBK,Cazadores
